"name","longitude","latitude","prov","date","key"
"Firoloida desmarestia Lesueur, 1817","97.81304","9.067691","gbif",2023-03-25,"4080967631"
"Firoloida desmarestia Lesueur, 1817","6.77323","43.40714","gbif",2021-03-20,"4149081287"
"BOLD:ACV1305","-79.219","8.645","gbif",2019-04-12,"4038709948"
"BOLD:ACV1305","-79.219","8.645","gbif",2019-04-12,"4038673966"
"Firoloida desmarestia Lesueur, 1817","-117.5371","32.7042","gbif",2019-07-13,"2416975007"
"Firoloida desmarestia Lesueur, 1817","145.432584","-14.677148","gbif",2018-11-30,"2432510152"
"BOLD:ACV1305","-117.883","33.5667","gbif",2018-11-14,"2249213743"
"BOLD:ACQ7212",NA,NA,"gbif",2017-06-23,"3442422365"
"BOLD:ACQ7212",NA,NA,"gbif",2017-06-23,"3443477271"
"BOLD:ACQ7212",NA,NA,"gbif",2017-06-23,"3442417157"
"Firoloida desmarestia Lesueur, 1817","-79.9513","27.4645","gbif",2017-06-23,"1675831028"
"Firoloida desmarestia Lesueur, 1817","-79.9513","27.4645","gbif",2017-06-23,"1675873350"
"Firoloida desmarestia Lesueur, 1817","-79.9513","27.4645","gbif",2017-06-23,"1676002052"
"Firoloida desmarestia Lesueur, 1817","-79.9513","27.4645","gbif",2017-06-23,"3028037113"
"Firoloida desmarestia Lesueur, 1817","-79.9513","27.4645","gbif",2017-06-23,"3028038155"
"Firoloida desmarestia Lesueur, 1817","-79.9532","27.4549","gbif",2017-06-19,"1676029385"
"Firoloida desmarestia Lesueur, 1817","-79.9513","27.4645","gbif",2017-06-23,"3028046320"
"Firoloida desmarestia Lesueur, 1817","-79.9532","27.4549","gbif",2017-06-19,"3028047201"
"Firoloida desmarestia Lesueur, 1817",NA,NA,"gbif",2017-06-19,"3818423613"
"Firoloida desmarestia Lesueur, 1817",NA,NA,"gbif",2017-06-23,"3987244203"
"Firoloida desmarestia Lesueur, 1817",NA,NA,"gbif",2017-06-23,"3818014657"
"Firoloida desmarestia Lesueur, 1817",NA,NA,"gbif",2017-06-23,"3818456633"
"BOLD:ACQ7212",NA,NA,"gbif",2017-08-16,"3442450384"
"BOLD:ACQ7212",NA,NA,"gbif",2017-08-16,"3443462404"
"Firoloida desmarestia Lesueur, 1817","-79.885","27.4977","gbif",2017-08-16,"1675814925"
"Firoloida desmarestia Lesueur, 1817","-79.885","27.4977","gbif",2017-08-16,"3028092407"
"Firoloida desmarestia Lesueur, 1817","-79.885","27.4977","gbif",2017-08-16,"3028097496"
"Firoloida desmarestia Lesueur, 1817","-79.885","27.4977","gbif",2017-08-16,"1675922376"
"Firoloida desmarestia Lesueur, 1817","-79.885","27.4977","gbif",2017-08-16,"3028031308"
"Firoloida desmarestia Lesueur, 1817","-79.885","27.4977","gbif",2017-08-16,"1676028743"
"Firoloida desmarestia Lesueur, 1817",NA,NA,"gbif",2017-08-16,"3818462815"
"Firoloida desmarestia Lesueur, 1817",NA,NA,"gbif",2017-08-16,"3818424673"
"BOLD:ACV1305","-79.29","8.64","gbif",2016-03-23,"4038824860"
"BOLD:ACV1305","-109.213","24.31","gbif",2015-02-23,"3442422407"
"Firoloida desmarestia Lesueur, 1817","-109.213","24.31","gbif",2015-02-23,"1317916491"
"Firoloida desmarestia Lesueur, 1817","-109.213","24.31","gbif",2015-02-23,"3028128823"
"Firoloida desmarestia Lesueur, 1817","-109.21","24.31","gbif",2015-02-23,"3818042813"
"BOLD:ACV1305","-117.917","33.6","gbif",2014-09-02,"2249217099"
"Firoloida desmarestia Lesueur, 1817","38","22.71","gbif",2013-05-01,"2570152581"
"BOLD:ACV1305","144.775","14.599","gbif",2010-03-26,"2251023208"
"BOLD:ACV1305","144.775","14.599","gbif",2010-03-26,"2251023463"
"Firoloida desmarestia Lesueur, 1817","-112.0167","27.309583","gbif",2007-01-20,"1418761960"
"Firoloida desmarestia Lesueur, 1817","-111.260278","26.431111","gbif",2007-01-26,"1418762031"
"Firoloida desmarestia Lesueur, 1817","-110.626667","26.480556","gbif",2007-01-22,"1418762272"
"Firoloida desmarestia Lesueur, 1817","-110.976389","25.995833","gbif",2007-01-27,"1418762656"
"Firoloida desmarestia Lesueur, 1817","-113.433611","29.089167","gbif",2007-07-24,"1418762961"
"Firoloida desmarestia Lesueur, 1817","-112.948611","29.364722","gbif",2007-07-23,"1418762515"
"Firoloida desmarestia Lesueur, 1817","-112.984444","28.7475","gbif",2007-07-26,"1418763014"
"Firoloida desmarestia Lesueur, 1817","-112.196667","28.888056","gbif",2007-07-31,"1418762249"
"Firoloida desmarestia Lesueur, 1817","-112.759444","28.301667","gbif",2007-07-26,"1418763206"
"Firoloida desmarestia Lesueur, 1817","-111.766944","28.2325","gbif",2007-07-01,"1418762011"
"Firoloida desmarestia Lesueur, 1817","-112.366694","27.640833","gbif",2007-07-27,"1418763028"
"Firoloida desmarestia Lesueur, 1817","-111.626389","28.017778","gbif",2007-07-30,"1418762440"
"Firoloida desmarestia Lesueur, 1817","-111.323611","27.882778","gbif",2007-07-01,"1418762558"
"Firoloida desmarestia Lesueur, 1817","-111.015","27.753333","gbif",2007-07-02,"1418763280"
"Firoloida desmarestia Lesueur, 1817","-111.204167","27.216111","gbif",2007-07-28,"1418763158"
"Firoloida desmarestia Lesueur, 1817","-111.204167","27.216111","gbif",2007-07-29,"1418763184"
"Firoloida desmarestia Lesueur, 1817","-111.204167","27.216111","gbif",2007-07-29,"1418763156"
"Firoloida desmarestia Lesueur, 1817","-111.204167","27.216111","gbif",2007-07-29,"1418763161"
"Firoloida desmarestia Lesueur, 1817","-114.066944","31.422222","gbif",2007-07-19,"1418761946"
"Firoloida desmarestia Lesueur, 1817","-111.846944","26.995833","gbif",2007-07-29,"1418762749"
"Firoloida desmarestia Lesueur, 1817","-111.846944","26.995833","gbif",2007-07-29,"1418762810"
"Firoloida desmarestia Lesueur, 1817","-111.846944","26.995833","gbif",2007-07-29,"1418762793"
"Firoloida desmarestia Lesueur, 1817","-111.846944","26.995833","gbif",2007-07-29,"1418762819"
"Firoloida desmarestia Lesueur, 1817","-111.100278","26.521944","gbif",2007-07-28,"1418763012"
"Firoloida desmarestia Lesueur, 1817","-114.089167","31.111111","gbif",2007-07-20,"1418762178"
"Firoloida desmarestia Lesueur, 1817","-114.268056","30.714444","gbif",2007-07-21,"1418762698"
"Firoloida demarestia Lesueur, 1817","-55","14","gbif",2006-04-25,"3349818559"
"Firoloida demarestia Lesueur, 1817","-55","14","gbif",2006-04-25,"3349837529"
"BOLD:ACQ7212","-55","14","gbif",2006-04-25,"2250080329"
"BOLD:ACQ7212","-55","14","gbif",2006-04-25,"2250081657"
"Firoloida desmarestia Lesueur, 1817","-111.951667","27.835833","gbif",2005-11-23,"1418763228"
"Firoloida desmarestia Lesueur, 1817","-111.847222","26.995833","gbif",2005-11-22,"1418763011"
"Firoloida desmarestia Lesueur, 1817","-110.290556","26.973611","gbif",2005-11-21,"1418763183"
"Firoloida desmarestia Lesueur, 1817","-111.2425","26.123333","gbif",2005-11-20,"1418762540"
"Firoloida desmarestia Lesueur, 1817","-109.292778","25.440833","gbif",2005-11-19,"1418762216"
"Firoloida desmarestia Lesueur, 1817","-110.1225","24.679167","gbif",2005-11-19,"1418763118"
"Firoloida desmarestia Lesueur, 1817","-6.78888","35.29572","gbif",2004-08-18,"2570098163"
